VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_N2]"  ,   "rms[Rho_N]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
        246,           0,           0,               -32,               -32,       4.005716526,       4.005716526,               -32,               -32
        247,           0,           0,               -32,               -32,       4.005716525,       4.005716525,               -32,               -32
        248,           0,           0,               -32,               -32,       4.005716524,       4.005716524,               -32,               -32
        249,           0,           0,               -32,               -32,       4.005716524,       4.005716524,               -32,               -32
        250,           0,           0,               -32,               -32,       4.005716523,       4.005716523,               -32,               -32
        251,           0,           0,               -32,               -32,       4.005716522,       4.005716522,               -32,               -32
        252,           0,           0,               -32,               -32,       4.005716521,       4.005716521,               -32,               -32
        253,           0,           0,               -32,               -32,       4.005716521,       4.005716521,               -32,               -32
        254,           0,           0,               -32,               -32,        4.00571652,        4.00571652,               -32,               -32
        255,           0,           0,               -32,               -32,       4.005716519,       4.005716519,               -32,               -32
        256,           0,           0,               -32,               -32,       4.005716519,       4.005716519,               -32,               -32
        257,           0,           0,               -32,               -32,       4.005716518,       4.005716518,               -32,               -32
        258,           0,           0,               -32,               -32,       4.005716517,       4.005716517,               -32,               -32
        259,           0,           0,               -32,               -32,       4.005716516,       4.005716516,               -32,               -32
        260,           0,           0,               -32,               -32,       4.005716516,       4.005716516,               -32,               -32
        261,           0,           0,               -32,               -32,       4.005716515,       4.005716515,               -32,               -32
        262,           0,           0,               -32,               -32,       4.005716514,       4.005716514,               -32,               -32
        263,           0,           0,               -32,               -32,       4.005716513,       4.005716513,               -32,               -32
        264,           0,           0,               -32,               -32,       4.005716513,       4.005716513,               -32,               -32
        265,           0,           0,               -32,               -32,       4.005716512,       4.005716512,               -32,               -32
        266,           0,           0,               -32,               -32,       4.005716511,       4.005716511,               -32,               -32
        267,           0,           0,               -32,               -32,        4.00571651,        4.00571651,               -32,               -32
        268,           0,           0,               -32,               -32,        4.00571651,        4.00571651,               -32,               -32
        269,           0,           0,               -32,               -32,       4.005716509,       4.005716509,               -32,               -32
        270,           0,           0,               -32,               -32,       4.005716508,       4.005716508,               -32,               -32
        271,           0,           0,               -32,               -32,       4.005716507,       4.005716507,               -32,               -32
        272,           0,           0,               -32,               -32,       4.005716506,       4.005716506,               -32,               -32
